970.93, 644.279
744.31, 707.685
474.779, 784.655
467.783, 619.19
461.376, 503.456
457.021, 413.914
634.286, 383.358
789.357, 356.125
934.616, 331.305
1070.66, 478.05
995.437, 396.148
1171.86, 589.228
0.0415003, 0.222939, 1.191
-0.181289, 0.271425, 1.124
-0.414202, 0.322311, 1.047
-0.493267, 0.203407, 1.228
-0.574529, 0.0927252, 1.412
-0.656989, -0.0190437, 1.601
-0.428777, -0.0630419, 1.67
-0.212568, -0.106112, 1.739
0.006477, -0.148451, 1.798
0.175025, 0.0634941, 1.439
0.0909747, -0.0427124, 1.609
0.262859, 0.175572, 1.256
