692.684, 680.828
549.943, 588.128
430.257, 511.857
598.741, 431.975
729.413, 369.38
839.985, 317.037
954.592, 356.99
1083.58, 402.231
1238.85, 457.627
1032.53, 650.879
1147.71, 543.027
873.925, 800.607
-0.24027, 0.253999, 1.164
-0.419099, 0.176156, 1.268
-0.609046, 0.10188, 1.404
-0.44668, 0.00561147, 1.551
-0.29667, -0.0847855, 1.702
-0.145702, -0.174876, 1.848
0.036071, -0.105014, 1.721
0.211596, -0.0340289, 1.592
0.393922, 0.0383354, 1.473
0.104343, 0.226405, 1.177
0.24989, 0.132789, 1.326
-0.0507672, 0.330959, 1.029
