791.14, 616.011
573.822, 598.066
359.424, 581.37
470.97, 460.551
551.325, 372.868
615.841, 303.487
760.353, 311.48
903.842, 319.011
1055.42, 327.744
1036.1, 500.228
1047.24, 403.185
1020.53, 636.048
-0.145805, 0.197297, 1.21
-0.382159, 0.182068, 1.234
-0.62719, 0.168241, 1.266
-0.58106, 0.0416575, 1.456
-0.54348, -0.0780707, 1.653
-0.50495, -0.197174, 1.848
-0.266211, -0.180241, 1.806
-0.0412427, -0.164444, 1.77
0.188659, -0.149403, 1.737
0.125932, 0.0862357, 1.367
0.157486, -0.0317749, 1.549
0.0922419, 0.212564, 1.179
