901.522, 372.763
1052.83, 367.393
1202.32, 361.604
1251.2, 438.272
1314.69, 535.784
1403.06, 672.547
0, 0
938.244, 699.563
689.488, 714.817
730.755, 459.789
713.264, 565.327
744.265, 377.838
-0.0432133, -0.0815185, 1.726
0.185091, -0.0899868, 1.746
0.414979, -0.0996391, 1.757
0.433674, 0.0150166, 1.556
0.455404, 0.127376, 1.366
0.480019, 0.247031, 1.169
0, 0, 0
0.00812772, 0.269541, 1.149
-0.237448, 0.281176, 1.136
-0.264841, 0.0423728, 1.527
-0.250672, 0.158645, 1.332
-0.277578, -0.0738663, 1.721
