1005.5, 354.119
1151.56, 378.717
1313.46, 405.443
1296.04, 488.599
1275.29, 594.899
1245.21, 744.329
1001.98, 680.036
794.817, 626.091
605.562, 576.695
800.772, 394.084
716.916, 471.894
868.859, 330.797
0, 0, 0
0.328577, -0.0720046, 1.712
0.544663, -0.0307772, 1.638
0.462028, 0.0766869, 1.454
0.381912, 0.183722, 1.275
0.298392, 0.298246, 1.091
0.0723689, 0.255745, 1.172
-0.145838, 0.212361, 1.237
-0.371007, 0.169215, 1.316
-0.186726, -0.0468427, 1.657
-0.279868, 0.0574412, 1.508
-0.0999978, -0.155423, 1.863
