593.009, 411.421
752.927, 372.783
895.412, 337.78
972.265, 401.193
1066.76, 478.924
1190.97, 582.507
1006.07, 656.138
791.094, 742.823
518.114, 853.018
433.501, 552.374
468.317, 676.748
406.241, 455.879
-0.463934, -0.0216126, 1.587
-0.259919, -0.0795349, 1.684
-0.0536222, -0.137219, 1.773
0.0578705, -0.0351786, 1.582
0.16743, 0.0625234, 1.417
0.281086, 0.166523, 1.245
0.0767276, 0.229331, 1.161
-0.127971, 0.288488, 1.062
-0.345985, 0.355554, 0.968
-0.567446, 0.141995, 1.316
-0.45693, 0.244832, 1.14
-0.679205, 0.0363069, 1.494
