1022.49, 393.323
1037.26, 488.676
1058.6, 619.811
825.523, 623.652
595.001, 628.967
353.89, 634.185
441.786, 497.779
504.192, 400.811
553.878, 324.811
858.631, 320.822
709.027, 322.616
1011.38, 319.365
0.126038, -0.0459111, 1.576
0.129908, 0.0736806, 1.397
0.13446, 0.20026, 1.209
-0.109556, 0.203582, 1.204
-0.34959, 0.208597, 1.203
-0.605247, 0.215889, 1.209
-0.590976, 0.0842743, 1.393
-0.586142, -0.0366344, 1.586
-0.589668, -0.159741, 1.803
-0.11018, -0.162643, 1.767
-0.340203, -0.16032, 1.775
0.124585, -0.164352, 1.769
