817.287, 626.844
626.517, 572.26
453.292, 523.986
587.837, 424.471
688.114, 349.681
770.486, 288.983
901.273, 312.301
1039.7, 336.744
1194.95, 364.872
1106.94, 548.095
1156.47, 445.532
1038.1, 691.341
-0.117034, 0.20515, 1.195
-0.335157, 0.159047, 1.271
-0.558261, 0.11184, 1.349
-0.452858, -0.00367534, 1.522
-0.35765, -0.114256, 1.704
-0.261635, -0.225609, 1.886
-0.0448157, -0.177101, 1.79
0.162551, -0.134286, 1.716
0.376646, -0.0889263, 1.643
0.1969, 0.134534, 1.288
0.288313, 0.0230391, 1.469
0.105028, 0.254788, 1.119
