943.873, 389.142
1097.84, 395.698
1257.08, 401.979
1285.74, 486.51
1324.23, 595.929
1378.72, 753.117
1121.43, 736.039
880.016, 721.09
637.723, 706.478
752.783, 461.539
704.73, 562.98
790.321, 382.571
0.0196075, -0.0559702, 1.718
0.248056, -0.0468672, 1.71
0.479253, -0.0375357, 1.688
0.458936, 0.0759663, 1.489
0.442288, 0.18743, 1.293
0.425098, 0.30727, 1.093
0.186129, 0.298985, 1.122
-0.0491018, 0.287776, 1.135
-0.294813, 0.279119, 1.16
-0.239082, 0.0456533, 1.549
-0.266564, 0.158463, 1.36
-0.21203, -0.0674542, 1.747
