1042.01, 363.919
1167.81, 426.701
1326.2, 504.75
1198, 590.944
1043.28, 696.888
837.153, 838.471
689.868, 682.047
581.504, 568.39
494.778, 477.191
811.941, 357.428
669.374, 411.046
936.512, 311.114
0.159232, -0.0899573, 1.636
0.307894, -0.00103397, 1.496
0.465504, 0.0900833, 1.354
0.289031, 0.174685, 1.242
0.111651, 0.263786, 1.137
-0.0809819, 0.356153, 1.005
-0.242255, 0.254906, 1.159
-0.394178, 0.158438, 1.302
-0.544682, 0.0622972, 1.44
-0.17194, -0.100282, 1.667
-0.359714, -0.0216399, 1.589
0.00953373, -0.178245, 1.786
