869.339, 318.484
1021.08, 328.856
1181.17, 339.244
1182.43, 423.651
1185.42, 531.735
1188.84, 684.517
939.28, 656.984
710.929, 632.708
487.88, 609.335
662.27, 383.292
588.604, 478.155
720.909, 308.26
-0.0917272, -0.162876, 1.737
0.134162, -0.144414, 1.696
0.36029, -0.125082, 1.653
0.32321, -0.00483959, 1.477
0.284984, 0.115573, 1.287
0.246216, 0.243604, 1.099
0.00907723, 0.225775, 1.143
-0.224376, 0.20797, 1.176
-0.465419, 0.190155, 1.211
-0.3696, -0.0600219, 1.59
-0.41831, 0.0622145, 1.41
-0.323623, -0.181941, 1.777
