1057.38, 406.453
1062.44, 505.303
1071.26, 642.148
834.718, 633.673
607.019, 627.047
375.265, 620.215
474.091, 488.311
544.331, 393.908
600.355, 319.903
899.476, 325.957
751.224, 322.717
1053.53, 329.713
0.170818, -0.027752, 1.548
0.156318, 0.0918567, 1.363
0.14467, 0.219032, 1.181
-0.09932, 0.212182, 1.194
-0.336501, 0.207215, 1.201
-0.589869, 0.203966, 1.225
-0.557808, 0.0743662, 1.41
-0.535104, -0.046552, 1.598
-0.514408, -0.166953, 1.797
-0.0470659, -0.154239, 1.758
-0.275971, -0.160591, 1.778
0.185751, -0.146493, 1.738
