679.854, 700.468
526.353, 601.772
397.89, 520.665
573.758, 429.923
709.089, 359.503
822.754, 301.242
943.247, 342.957
1078.68, 389.485
1241.31, 446.056
1035.31, 659.983
1150.69, 540.254
874.639, 828.054
-0.240993, 0.260642, 1.107
-0.427936, 0.183307, 1.221
-0.620122, 0.10771, 1.341
-0.466395, 0.00285284, 1.506
-0.313945, -0.095714, 1.638
-0.167445, -0.193962, 1.789
0.0189912, -0.121613, 1.664
0.199288, -0.050497, 1.55
0.386416, 0.0236764, 1.431
0.103575, 0.22713, 1.135
0.244554, 0.124873, 1.28
-0.0474992, 0.338847, 0.98
