960.844, 628.053
732.325, 650.115
484.974, 675.537
530.867, 533.386
562.248, 432.835
587.373, 354.672
746.501, 344.992
894.903, 335.558
1042.26, 327.033
1121.27, 484.907
1077.46, 396.276
1181.74, 607.842
0.031766, 0.210505, 1.214
-0.204327, 0.228906, 1.19
-0.448452, 0.247914, 1.159
-0.471932, 0.124473, 1.36
-0.497053, 0.00697504, 1.557
-0.526648, -0.111054, 1.77
-0.283207, -0.126665, 1.775
-0.0556587, -0.141541, 1.789
0.176167, -0.155681, 1.81
0.236062, 0.0701464, 1.423
0.205732, -0.0427655, 1.611
0.268528, 0.191329, 1.232
