1036.19, 592.603
842.169, 670.672
601.402, 769.368
536.737, 619.106
488.398, 511.363
450.805, 426.179
625.929, 383.371
773.641, 346.791
907.82, 314.115
1079.83, 437.544
985.985, 369.508
1201.88, 526.828
0.116167, 0.179531, 1.261
-0.0888956, 0.244387, 1.166
-0.304513, 0.314674, 1.067
-0.421441, 0.204235, 1.233
-0.538376, 0.10188, 1.404
-0.657553, -0.00109134, 1.579
-0.44473, -0.0634572, 1.681
-0.241752, -0.123676, 1.776
-0.0369029, -0.180918, 1.861
0.197008, 0.0133767, 1.522
0.0808879, -0.0841877, 1.69
0.319562, 0.116097, 1.358
