841.718, 728.696
590.569, 715.629
340.326, 703.896
458.887, 546.994
540.859, 437.038
605.014, 352.161
764.538, 357.28
921.804, 361.945
1086.24, 367.891
1096.01, 574.499
1090.73, 457.387
1103.83, 743.931
-0.0830449, 0.279568, 1.077
-0.323842, 0.272717, 1.098
-0.569233, 0.264694, 1.112
-0.535618, 0.134368, 1.308
-0.507495, 0.0131834, 1.5
-0.482929, -0.110431, 1.713
-0.241374, -0.100883, 1.677
-0.0126715, -0.0935712, 1.65
0.219942, -0.0836475, 1.623
0.179521, 0.157939, 1.245
0.200002, 0.0374506, 1.439
0.158834, 0.28804, 1.057
