346.085, 340.151
274.728, 293.818
214.9, 255.734
299.181, 215.773
364.501, 184.421
419.778, 158.293
476.996, 178.281
541.432, 200.83
619.209, 228.493
516.009, 325.172
573.592, 271.261
436.687, 400.053
-0.238205, 0.251817, 1.154
-0.42285, 0.175068, 1.276
-0.613225, 0.100957, 1.408
-0.448408, 0.00429131, 1.557
-0.298322, -0.086303, 1.703
-0.148024, -0.177329, 1.857
0.0331607, -0.105258, 1.725
0.211402, -0.0369809, 1.601
0.394992, 0.0371666, 1.477
0.104786, 0.227367, 1.182
0.248927, 0.131745, 1.327
-0.05161, 0.330637, 1.028
