426.657, 310.231
311.898, 311.503
193.421, 313.477
236.263, 246.082
266.309, 198.297
289.766, 160.528
366.898, 160.512
441.017, 159.395
516.714, 159.58
531.029, 243.466
522.89, 196.404
542.022, 309.598
-0.0811411, 0.19997, 1.201
-0.3206, 0.201872, 1.2
-0.567319, 0.206352, 1.202
-0.555487, 0.0785526, 1.398
-0.551056, -0.0423673, 1.596
-0.545664, -0.164484, 1.787
-0.305975, -0.164024, 1.782
-0.0735838, -0.166157, 1.772
0.156381, -0.165407, 1.764
0.159071, 0.0707625, 1.387
0.155731, -0.0471493, 1.572
0.160268, 0.197406, 1.198
