502.464, 176.828
575.509, 189.129
656.47, 202.49
647.71, 244.071
637.328, 297.214
622.295, 371.863
500.749, 339.762
397.177, 312.81
302.586, 288.076
399.97, 196.818
358.261, 235.747
434.245, 165.191
0.114675, -0.114879, 1.782
0.325945, -0.0717523, 1.706
0.543905, -0.0322282, 1.64
0.460453, 0.0768451, 1.457
0.381403, 0.18401, 1.277
0.298536, 0.297452, 1.095
0.0715953, 0.254591, 1.176
-0.146428, 0.211078, 1.242
-0.371866, 0.169086, 1.315
-0.192005, -0.0503286, 1.678
-0.279868, 0.0561416, 1.508
-0.100052, -0.155507, 1.864
