476.311, 216.571
523.566, 238.966
578.08, 264.875
535.997, 298.791
487.886, 338.203
428.169, 386.802
370.822, 343.115
323.562, 307.456
281.879, 275.773
389.788, 219.462
340.426, 245.166
434.206, 196.445
0.0423881, 0.00987794, 2.205
0.209465, 0.0881074, 2.078
0.381539, 0.169546, 1.944
0.218934, 0.262474, 1.8
0.0636434, 0.356725, 1.661
-0.0972244, 0.451308, 1.517
-0.272349, 0.369253, 1.653
-0.440206, 0.2883, 1.787
-0.613894, 0.204175, 1.923
-0.289789, 0.021222, 2.199
-0.447323, 0.112363, 2.063
-0.125547, -0.0701541, 2.339
