241.053, 215.23
314.148, 184.791
374.995, 159.067
427.596, 179.954
487.66, 203.718
560.062, 233.184
503.16, 276.305
432.612, 330.236
335.018, 404.389
198.307, 293.652
257.888, 341.872
148.845, 253.509
-0.610593, 0.0043299, 1.571
-0.449784, -0.0870124, 1.717
-0.292909, -0.174034, 1.856
-0.113352, -0.102106, 1.722
0.0609229, -0.028505, 1.59
0.240933, 0.0493215, 1.46
0.0869711, 0.141995, 1.316
-0.067205, 0.236348, 1.176
-0.228667, 0.333125, 1.014
-0.591635, 0.175206, 1.277
-0.413946, 0.252267, 1.147
-0.778371, 0.0965806, 1.415
