510.946, 196.541
518.305, 244.124
529.122, 309.591
412.461, 311.569
297.286, 314.204
176.738, 316.848
220.611, 248.68
251.569, 200.141
276.542, 162.211
429.083, 160.138
353.893, 161.01
505.764, 159.607
0.123459, -0.0473293, 1.578
0.128327, 0.0734696, 1.393
0.134348, 0.199053, 1.208
-0.11106, 0.203386, 1.209
-0.350343, 0.208424, 1.202
-0.602786, 0.212567, 1.202
-0.594311, 0.083372, 1.398
-0.588895, -0.0366344, 1.586
-0.586314, -0.158412, 1.788
-0.110242, -0.162735, 1.768
-0.343076, -0.159507, 1.766
0.12298, -0.165782, 1.768
