442.202, 330.989
319.169, 356.723
177.399, 387.005
195.399, 300.721
207.037, 240.721
216.468, 194.618
305.896, 183.122
386.304, 172.461
463, 162.56
514.823, 244.656
486.081, 198.635
554.25, 308.095
-0.0456393, 0.230519, 1.147
-0.277596, 0.269387, 1.096
-0.518741, 0.310595, 1.038
-0.58376, 0.185986, 1.246
-0.637495, 0.0652867, 1.424
0, 0, 0
-0.461062, -0.0870375, 1.661
-0.234252, -0.122027, 1.71
-0.00584914, -0.155134, 1.751
0.117549, 0.072784, 1.38
0.056956, -0.041332, 1.557
0.185684, 0.19583, 1.201
