502.677, 321.506
384.689, 337.033
254.791, 355.026
271.597, 276.704
282.641, 221.762
291.508, 179.356
374.32, 172.413
450.875, 165.88
526.065, 159.843
576.159, 242.903
548.283, 196.326
614.807, 307.45
0.0759351, 0.218846, 1.18
-0.161249, 0.244572, 1.148
-0.407105, 0.271403, 1.112
-0.438583, 0.140592, 1.303
-0.475935, 0.019634, 1.499
-0.508971, -0.0999718, 1.686
-0.270342, -0.122241, 1.713
-0.0451516, -0.145412, 1.743
0.186999, -0.165407, 1.764
0.268561, 0.0686675, 1.393
0.226961, -0.0472093, 1.574
0.311017, 0.193921, 1.202
