438.336, 179.526
514.423, 193.449
599.376, 208.924
579.91, 258.106
555.289, 322.333
519.253, 415.722
391.025, 375.924
283.047, 342.979
185.817, 313.345
321.649, 203.622
264.051, 249.965
367.737, 166.688
-0.0781374, -0.0991417, 1.672
0.135777, -0.0560517, 1.594
0.353493, -0.014141, 1.519
0.263935, 0.102472, 1.333
0.180733, 0.216388, 1.156
0.0913245, 0.338104, 0.973
-0.134855, 0.292746, 1.051
-0.3565, 0.250254, 1.129
-0.58984, 0.208412, 1.214
-0.398946, -0.0286305, 1.597
-0.485801, 0.0854748, 1.393
-0.299483, -0.14396, 1.762
