496.991, 189.212
567.271, 207.663
648.486, 228.724
621.413, 271.962
587.69, 327.039
539.798, 404.256
428.124, 355.224
338.262, 316.246
260.439, 282.325
388.065, 201.475
332.654, 236.398
433.836, 172.489
0.0943908, -0.0736029, 1.75
0.29322, -0.0182597, 1.655
0.492534, 0.0390036, 1.55
0.373029, 0.136709, 1.377
0.256594, 0.23712, 1.211
0.133458, 0.34101, 1.038
-0.0737675, 0.280921, 1.151
-0.274057, 0.219995, 1.244
-0.4816, 0.160098, 1.354
-0.224176, -0.0358886, 1.679
-0.352305, 0.0594809, 1.527
-0.103121, -0.132803, 1.861
