520.823, 181.711
583.651, 213.066
662.829, 252.124
598.794, 295.21
521.38, 348.191
418.334, 418.935
344.794, 340.793
290.548, 283.918
247.208, 238.32
405.754, 178.472
334.341, 205.278
468.02, 155.311
0.157731, -0.0921492, 1.65
0.30762, -0.00103743, 1.501
0.463838, 0.0902163, 1.356
0.284566, 0.173279, 1.232
0.108134, 0.257754, 1.111
-0.0793293, 0.343488, 0.974
-0.237384, 0.246798, 1.131
-0.391361, 0.154634, 1.289
-0.54506, 0.0610985, 1.441
-0.174114, -0.102146, 1.674
-0.36132, -0.0230238, 1.59
0.0096138, -0.181294, 1.801
