434.434, 158.957
510.255, 164.175
590.445, 169.357
590.891, 211.557
592.41, 265.616
594.167, 341.985
469.421, 328.227
355.232, 316.099
243.701, 304.406
330.919, 191.392
294.041, 238.839
360.175, 153.896
-0.0935568, -0.166442, 1.743
0.132691, -0.144414, 1.696
0.360158, -0.126966, 1.659
0.320647, -0.00611251, 1.477
0.28497, 0.114909, 1.292
0.247112, 0.24259, 1.103
0.00809942, 0.22617, 1.145
-0.224567, 0.208146, 1.177
-0.467626, 0.18958, 1.214
-0.37353, -0.0615853, 1.595
-0.41831, 0.0597841, 1.41
-0.324715, -0.185628, 1.783
