528.475, 202.992
531.046, 252.438
535.369, 320.813
417.129, 316.568
303.245, 313.257
187.409, 309.85
236.794, 243.958
271.991, 196.684
299.766, 159.648
449.491, 162.685
375.326, 161.134
526.611, 164.674
0.170241, -0.0305578, 1.555
0.156204, 0.0906155, 1.362
0.143158, 0.216261, 1.177
-0.0994032, 0.21133, 1.195
-0.337544, 0.20618, 1.201
-0.587555, 0.200701, 1.218
-0.561844, 0.07214, 1.414
-0.541244, -0.0482291, 1.608
-0.516087, -0.168033, 1.792
-0.0486468, -0.155931, 1.76
-0.277045, -0.16032, 1.775
0.184667, -0.148331, 1.742
