331.82, 340.039
266.126, 287.528
212.067, 245.116
300.464, 205.596
369.82, 174.291
429.399, 147.901
485.838, 170.977
550.424, 197.182
629.567, 229.725
508.62, 331.421
575.839, 274.902
416.957, 409.216
-0.262207, 0.246144, 1.128
-0.432972, 0.159081, 1.254
-0.611089, 0.0758162, 1.392
-0.43769, -0.0221405, 1.529
-0.277382, -0.113144, 1.666
-0.112736, -0.206929, 1.808
0.0582258, -0.125004, 1.671
0.226814, -0.0434221, 1.536
0.401832, 0.0379379, 1.411
0.0848594, 0.230064, 1.135
0.241688, 0.132131, 1.265
-0.0842389, 0.334447, 0.992
