405.086, 363.423
279.151, 362.788
149.88, 363.226
206.193, 283.601
244.746, 228.555
275.087, 185.836
355.776, 186.379
434.07, 186.497
514.406, 187.07
524.81, 284.539
519.377, 229.382
533.024, 364.417
-0.114724, 0.284416, 1.103
-0.357884, 0.284051, 1.109
-0.60812, 0.285963, 1.109
-0.589632, 0.157393, 1.312
-0.574421, 0.0376951, 1.498
-0.570298, -0.0846893, 1.73
-0.324162, -0.0802433, 1.699
-0.0901752, -0.0793459, 1.68
0.142166, -0.0759496, 1.669
0.13217, 0.156856, 1.289
0.139005, 0.03982, 1.481
0.129738, 0.285019, 1.098
