517.825, 296.044
420.88, 335.074
300.455, 384.454
268.113, 309.335
243.933, 255.433
225.165, 212.874
312.715, 191.45
386.432, 173.152
453.561, 156.851
539.701, 218.533
492.741, 184.454
600.728, 263.16
0.113978, 0.179531, 1.261
-0.0909974, 0.244596, 1.167
-0.305725, 0.314049, 1.068
-0.422125, 0.203502, 1.235
-0.542353, 0.100957, 1.408
-0.656721, -0.00380815, 1.577
-0.446189, -0.0649059, 1.681
-0.242471, -0.123258, 1.77
-0.0386421, -0.18472, 1.867
0.196073, 0.0120888, 1.525
0.0795152, -0.0857455, 1.692
0.318618, 0.116183, 1.359
