420.629, 364.125
295.086, 357.55
169.904, 351.721
229.181, 273.295
270.035, 218.252
302.199, 175.831
382, 178.399
460.69, 180.763
542.818, 183.687
547.854, 286.946
545.087, 228.501
551.67, 371.695
-0.0842135, 0.280346, 1.08
-0.324137, 0.272018, 1.099
-0.574245, 0.265159, 1.118
-0.535208, 0.134265, 1.307
-0.51054, 0.011962, 1.509
-0.486112, -0.11378, 1.719
-0.240798, -0.102085, 1.673
-0.0140949, -0.0949356, 1.649
0.217124, -0.0850463, 1.623
0.177218, 0.155668, 1.244
0.199307, 0.0360846, 1.434
0.158216, 0.287673, 1.059
