327.611, 372.556
240.085, 326.077
165.788, 287.234
256.351, 234.581
324.157, 194.703
379.935, 162.229
443.612, 180.64
513.887, 201.068
596.824, 225.659
508, 339.142
558.234, 275.053
436.143, 431.349
-0.255196, 0.291412, 1.066
-0.455598, 0.226493, 1.167
-0.663738, 0.161745, 1.275
-0.521825, 0.0510924, 1.439
-0.395278, -0.0540399, 1.616
-0.263678, -0.15664, 1.768
-0.0629801, -0.095281, 1.655
0.129422, -0.0331526, 1.551
0.329431, 0.0289494, 1.448
0.0841117, 0.24355, 1.125
0.206624, 0.135798, 1.279
-0.0478949, 0.357812, 0.954
