323.897, 183.34
309.989, 222.986
290.825, 278.428
207.071, 256.92
134.821, 238.975
68.9128, 222.564
116.353, 182.403
150.998, 152.885
179.549, 128.951
278.264, 143.948
0, 0
334.871, 152.958
0.243846, -0.0915561, 1.373
0.166067, 0.0476355, 1.192
0.0888473, 0.196378, 1.017
-0.151468, 0.144236, 1.085
-0.386373, 0.0953512, 1.139
-0.624159, 0.0479952, 1.201
-0.538381, -0.096213, 1.386
-0.462114, -0.236873, 1.564
-0.376565, -0.378156, 1.742
0.0879859, -0.283991, 1.613
0, 0, 0
0.321905, -0.234752, 1.55
