282.966, 286.238
192.908, 294.405
96.2918, 303.635
115.324, 240.854
128.105, 198.03
137.697, 165.634
196.744, 162.104
252.597, 158.902
307.863, 155.991
342.524, 223.746
323.189, 185.284
370.602, 278.834
0.0666648, 0.218841, 1.018
-0.18062, 0.236847, 1
-0.432498, 0.255183, 0.976
-0.454939, 0.103721, 1.163
-0.482588, -0.0348282, 1.357
-0.515064, -0.180347, 1.556
-0.266909, -0.195222, 1.573
-0.0265119, -0.216344, 1.602
0.21804, -0.233353, 1.629
0.281896, 0.0524321, 1.228
0.252193, -0.0869242, 1.42
0.31898, 0.201205, 1.042
