178.144, 261.014
127.102, 229.037
84.43, 202.963
140.77, 175.102
184.501, 153.351
221.344, 135.075
261.898, 148.626
307.656, 164.104
362.349, 183.207
295.017, 250.176
332.691, 212.709
243.23, 302.078
-0.240574, 0.161123, 1.099
-0.433619, 0.0715161, 1.21
-0.634437, -0.0196318, 1.333
-0.480671, -0.131865, 1.489
-0.332701, -0.244345, 1.643
-0.18207, -0.355698, 1.797
0.0135511, -0.272979, 1.681
0.207733, -0.184128, 1.552
0.40761, -0.0956237, 1.434
0.114472, 0.132027, 1.133
0.258224, 0.0161126, 1.277
-0.0402955, 0.25329, 0.979
