232.766, 240.056
154.018, 241.24
72.3492, 242.917
98.6052, 196.431
117.567, 162.987
132.041, 137.332
185.607, 136.459
236.983, 135.512
289.072, 135.616
302.269, 193.325
295.524, 160.81
312.325, 239.189
-0.0818541, 0.102472, 1.149
-0.324935, 0.104971, 1.142
-0.577444, 0.107431, 1.135
-0.583843, -0.0415335, 1.334
-0.59129, -0.190257, 1.533
-0.588387, -0.328547, 1.707
-0.34299, -0.335167, 1.717
-0.103477, -0.339664, 1.716
0.144375, -0.337685, 1.706
0.161757, -0.0529491, 1.346
0.153472, -0.196827, 1.519
0.169797, 0.0995032, 1.151
