211.234, 238.464
135.823, 232.534
61.9267, 226.96
97.8059, 185.249
123.191, 154.872
144.328, 130.759
194.22, 133.26
0, 0
296.715, 138.484
293.635, 198.077
295.546, 164.439
290.871, 245.092
-0.148993, 0.0969418, 1.158
-0.394699, 0.078952, 1.173
-0.643376, 0.0607754, 1.194
-0.610392, -0.0848429, 1.386
-0.587927, -0.232407, 1.592
-0.551397, -0.37413, 1.768
-0.306339, -0.355762, 1.749
0, 0, 0
0.175059, -0.320085, 1.687
0.125478, -0.0336989, 1.313
0.151047, -0.177365, 1.495
0.0984571, 0.115919, 1.127
