279.436, 147.706
330.005, 155.902
386.453, 164.93
382.216, 193.692
377.305, 230.468
369.92, 282.039
284.82, 260.272
212.097, 241.878
145.717, 225.043
209.378, 161.675
182.065, 188.64
231.297, 139.721
0.0997288, -0.287484, 1.741
0.329937, -0.240229, 1.677
0.565048, -0.191602, 1.615
0.481629, -0.0558995, 1.421
0.400726, 0.0761853, 1.232
0.318861, 0.214439, 1.051
0.0792568, 0.160707, 1.117
-0.149353, 0.109015, 1.186
-0.387355, 0.0603522, 1.253
-0.218637, -0.206753, 1.63
-0.301341, -0.0768125, 1.449
-0.134559, -0.340156, 1.819
