259.163, 175.217
292.288, 190.542
330.826, 208.276
302.76, 231.992
270.531, 259.277
230.488, 293.013
189.572, 262.959
155.978, 238.459
126.413, 216.703
199.587, 177.487
165.742, 195.366
229.338, 161.358
0.00560717, -0.191554, 2.163
0.189283, -0.0969374, 2.039
0.37204, 0.00317599, 1.891
0.210789, 0.113261, 1.754
0.0528305, 0.228223, 1.617
-0.112378, 0.342975, 1.465
-0.300796, 0.237903, 1.593
-0.483845, 0.143738, 1.717
-0.669114, 0.0436485, 1.853
-0.348793, -0.179475, 2.16
-0.512466, -0.0682124, 2.014
-0.182083, -0.290723, 2.292
