100.597, 175.062
149.713, 153.688
190.646, 135.777
227.932, 150.033
270.566, 166.322
321.674, 186.418
284.15, 216.428
237.56, 253.934
173.045, 305.253
74.6326, 229.198
117.424, 262.282
39.0433, 201.763
-0.646131, -0.132396, 1.495
-0.491738, -0.245237, 1.649
-0.336821, -0.358271, 1.81
-0.142228, -0.262844, 1.675
0.0506741, -0.175526, 1.551
0.245976, -0.0835675, 1.429
0.0901839, 0.0299392, 1.271
-0.0648779, 0.140573, 1.127
-0.227924, 0.261588, 0.98
-0.614016, 0.0721072, 1.22
-0.42235, 0.163531, 1.095
-0.805056, -0.023469, 1.344
