138.244, 168.058
0, 0
241.069, 142.167
269.057, 164.057
303.39, 190.741
348.416, 226.248
285.903, 251.975
213.208, 282.273
121.337, 320.475
86.2599, 216.964
100.636, 259.855
74.8623, 183.711
-0.506541, -0.166182, 1.543
0, 0, 0
-0.0809477, -0.310394, 1.736
0.0466125, -0.184721, 1.557
0.172444, -0.0667009, 1.403
0.300322, 0.0621498, 1.221
0.0845219, 0.136795, 1.147
-0.129232, 0.214031, 1.049
-0.354158, 0.291008, 0.945
-0.605035, 0.0302925, 1.286
-0.481465, 0.157229, 1.114
-0.727257, -0.0963572, 1.445
