287.054, 160.925
293.928, 194.043
303.574, 239.403
223.195, 241.111
143.786, 243.199
60.8841, 245.322
88.2807, 198.014
107.584, 164.746
123.432, 138.142
228.387, 136.431
177.05, 137.249
281.608, 135.805
0.121429, -0.198771, 1.534
0.127962, -0.0490122, 1.339
0.141839, 0.0997625, 1.154
-0.110611, 0.106074, 1.154
-0.358342, 0.110924, 1.139
-0.616313, 0.117051, 1.138
-0.616137, -0.0340069, 1.325
-0.624536, -0.179382, 1.512
-0.62855, -0.322931, 1.702
-0.138633, -0.329311, 1.687
-0.376562, -0.327008, 1.699
0.108372, -0.341842, 1.727
