285.814, 247.634
204.876, 258.644
116.027, 271.435
124.499, 217.274
130, 179.375
134.227, 150.127
191.184, 144.983
243.918, 140.256
295.632, 135.826
333.659, 193.07
312.546, 161.027
362.712, 237.543
0.0830481, 0.122083, 1.127
-0.161995, 0.151692, 1.096
-0.409807, 0.183521, 1.055
-0.452343, 0.032442, 1.234
-0.499327, -0.110688, 1.426
-0.545468, -0.252331, 1.608
-0.303085, -0.286513, 1.653
-0.069272, -0.310122, 1.683
0.173982, -0.340852, 1.722
0.276267, -0.0530278, 1.348
0.225118, -0.193562, 1.526
0.328589, 0.0936132, 1.156
