220.444, 242.218
153.278, 223.562
92.7517, 207.149
137.268, 172.467
170.382, 146.506
197.313, 125.47
243.124, 133.39
291.568, 141.578
345.628, 151.149
318.91, 214.558
333.953, 179.026
298.06, 264.1
-0.119453, 0.108661, 1.148
-0.348741, 0.0518344, 1.214
-0.581211, -0.00135038, 1.28
-0.484279, -0.141564, 1.463
-0.393674, -0.274451, 1.635
-0.303844, -0.410018, 1.82
-0.0720297, -0.355965, 1.75
0.150101, -0.302433, 1.666
0.37899, -0.245775, 1.594
0.204255, 0.0225359, 1.246
0.291433, -0.110377, 1.422
0.117213, 0.166113, 1.073
