169.17, 152.788
0, 0
275.708, 137.725
295.883, 163.159
321.226, 195.036
355.766, 238.933
279.835, 255.338
198.206, 273.253
103.921, 293.925
108.175, 192.954
106.362, 234.544
109.342, 160.932
-0.398388, -0.247777, 1.636
0, 0, 0
0.0788783, -0.327585, 1.702
0.153371, -0.184245, 1.518
0.229796, -0.0452152, 1.335
0.30328, 0.0957697, 1.144
0.0629535, 0.143091, 1.099
-0.172095, 0.188035, 1.048
-0.421447, 0.232708, 0.994
-0.556392, -0.0570505, 1.356
-0.48564, 0.0850033, 1.168
-0.631348, -0.200715, 1.549
