235.764, 149.714
289.066, 159.209
348.215, 169.525
336.866, 203.636
322.599, 248.087
301.37, 312.582
211.142, 285.598
135.266, 263.059
67.1525, 242.839
156.185, 166.64
118.277, 198.956
186.376, 140.997
-0.101614, -0.257366, 1.612
0.129903, -0.203098, 1.535
0.361321, -0.154196, 1.469
0.275816, -0.015519, 1.294
0.194277, 0.123388, 1.111
0.109925, 0.26776, 0.936
-0.128535, 0.212025, 0.999
-0.357686, 0.161658, 1.063
-0.591395, 0.107147, 1.132
-0.422221, -0.171226, 1.513
-0.505142, -0.0338529, 1.319
-0.333369, -0.31178, 1.692
