275.853, 156.297
325.164, 168.82
381.878, 183.17
364.915, 213.081
344.014, 251.213
314.226, 304.647
235.038, 271.185
171.397, 244.468
116.375, 221.261
201.072, 165.082
164.241, 189.279
231.125, 144.882
0.0792954, -0.240421, 1.711
0.295841, -0.174045, 1.616
0.507666, -0.100692, 1.51
0.384163, 0.0203569, 1.326
0.274745, 0.139419, 1.169
0.153449, 0.264985, 1.003
-0.0685831, 0.189262, 1.088
-0.281369, 0.118344, 1.182
-0.497595, 0.0476893, 1.281
-0.255387, -0.189736, 1.637
-0.378064, -0.073906, 1.47
-0.134633, -0.315459, 1.82
