292.903, 151.02
337.633, 172.551
393.739, 199.283
351.424, 229.197
300.032, 266.014
231.797, 315.185
177.673, 261.409
137.872, 222.249
106.179, 190.922
213.254, 149.183
164.847, 167.731
255.383, 132.963
0.148808, -0.247163, 1.603
0.31627, -0.141758, 1.465
0.486364, -0.0302231, 1.318
0.298646, 0.0694475, 1.175
0.120901, 0.168936, 1.054
-0.0688698, 0.273967, 0.931
-0.237374, 0.157018, 1.071
-0.40318, 0.0486745, 1.218
-0.570876, -0.0652747, 1.373
-0.199576, -0.258644, 1.62
-0.390409, -0.167641, 1.518
-0.0146885, -0.362812, 1.76
