232.618, 135.532
285.152, 139.067
340.717, 142.366
342.93, 171.614
346.021, 208.778
350.214, 261.518
263.607, 252.351
184.128, 244.232
106.692, 236.43
162.357, 158.057
138.715, 191.081
180.787, 132.207
-0.120395, -0.334518, 1.69
0.121661, -0.30874, 1.651
0.363022, -0.289653, 1.62
0.328955, -0.14258, 1.433
0.300137, 0.00209605, 1.248
0.26501, 0.154525, 1.054
0.014721, 0.132734, 1.088
-0.225783, 0.111636, 1.115
-0.479403, 0.0902174, 1.153
-0.400024, -0.205675, 1.523
-0.440556, -0.0601312, 1.342
-0.366466, -0.353948, 1.717
