256.298, 144.168
303.125, 159.646
358.323, 177.867
329.155, 208.39
292.908, 247.166
242.732, 300.777
174.66, 260.148
121.87, 228.686
77.3832, 202.249
178.089, 149.844
133.956, 172.733
215.32, 130.68
-0.00926973, -0.28634, 1.652
0.189897, -0.204421, 1.545
0.392745, -0.119401, 1.437
0.248524, 0.00215147, 1.281
0.105549, 0.123166, 1.137
-0.0426214, 0.24591, 0.971
-0.248228, 0.155384, 1.08
-0.444477, 0.0668545, 1.186
-0.648566, -0.0192931, 1.31
-0.354623, -0.258644, 1.62
-0.501649, -0.141951, 1.467
-0.209199, -0.376035, 1.777
