174.574, 267.715
119.734, 233.871
74.0207, 206.073
132.73, 174.419
177.834, 149.956
216.088, 129.602
258.755, 143.883
306.452, 159.778
363.517, 179.038
296.795, 253.309
334.185, 211.73
244.486, 311.461
-0.240873, 0.17084, 1.048
-0.439556, 0.0809689, 1.156
-0.636664, -0.00479371, 1.265
-0.49601, -0.131372, 1.439
-0.348636, -0.25114, 1.573
-0.199165, -0.371249, 1.732
-0.000230933, -0.285927, 1.624
0.197327, -0.199129, 1.505
0.397469, -0.107505, 1.385
0.113005, 0.135834, 1.089
0.255447, 0.0121562, 1.23
-0.0360045, 0.265484, 0.937
