219.928, 276.789
132.88, 276.778
44.0937, 277.25
79.2124, 222.482
103.794, 184.119
122.575, 154.887
178.593, 154.452
232.744, 154.399
288.28, 154.563
299.481, 222.041
293.035, 183.836
308.308, 277.16
-0.112021, 0.19682, 1.049
-0.36227, 0.197195, 1.051
-0.606984, 0.197404, 1.037
-0.605659, 0.0494338, 1.237
-0.606731, -0.0915106, 1.431
-0.617951, -0.242479, 1.661
-0.359001, -0.239414, 1.64
-0.11612, -0.237954, 1.63
0.132912, -0.236932, 1.623
0.138174, 0.0493139, 1.234
0.136754, -0.0954237, 1.431
0.143003, 0.199308, 1.047
