295.129, 229.962
229.487, 257.283
148.408, 291.633
123.189, 239.823
104.382, 202.709
89.5904, 173.386
149.058, 158.299
199.071, 145.542
244.889, 133.997
307.084, 176.389
273.24, 152.974
350.974, 207.043
0.122252, 0.0715161, 1.21
-0.0882611, 0.15073, 1.111
-0.305151, 0.231845, 1.014
-0.432082, 0.101146, 1.17
-0.567012, -0.0198233, 1.346
-0.696647, -0.141701, 1.507
-0.478915, -0.216884, 1.606
-0.27742, -0.293081, 1.718
-0.0701262, -0.371221, 1.825
0.197695, -0.126763, 1.477
0.0675671, -0.250352, 1.653
0.32812, -0.00137675, 1.305
