231.003, 277.24
144.057, 273.14
57.8438, 269.266
95.4506, 215.117
121.152, 177.066
141.016, 147.592
196.696, 149.145
251.461, 150.421
308.13, 152.242
315.974, 223.768
311.629, 183.083
321.956, 282.162
-0.0756014, 0.194549, 1.022
-0.327158, 0.188214, 1.049
-0.575068, 0.176235, 1.046
-0.551538, 0.0257557, 1.237
-0.535921, -0.118819, 1.43
-0.527812, -0.272292, 1.649
-0.274206, -0.258005, 1.616
-0.0307769, -0.250448, 1.596
0.214572, -0.237933, 1.571
0.186247, 0.0510658, 1.196
0.200675, -0.0924229, 1.386
0.174025, 0.206278, 1.011
